Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Solace 0961 Ivory Shaggy Rug by Think Rugs,84.99,50.58,Save 40,Polypropylene,Easy to clean,Plain,40.0,2400,Turkey,"Modern , Shaggy",,67062ff9f386a3a7f2625945
Solace 0961 Grey Shaggy Rug by Think Rugs,84.99,50.58,Save 40,Polypropylene,Easy to clean,Plain,40.0,2400,Turkey,"Modern , Shaggy",,67062ff9f386a3a7f2625946
Solace 0961 Charcoal Shaggy Rug by Think Rugs,84.99,50.58,Save 40,Polypropylene,Easy to clean,Plain,40.0,2400,Turkey,"Modern , Shaggy",,67062ff9f386a3a7f2625947
Solace 0961 Beige Shaggy Rug by Think Rugs,84.99,50.58,Save 40,Polypropylene,Easy to clean,Plain,40.0,2400,Turkey,"Modern , Shaggy",,67062ff9f386a3a7f2625948
Torino Teal Green Abstract Rug by Asiatic,309.0,187.68,Save 39,"Viscose , Wool",Easy to clean,Abstract,510.0,,India,Modern,,67062ff9f386a3a7f2625949
Torino Gold Abstract Rug by Asiatic,309.0,187.68,Save 39,"Viscose , Wool",Easy to clean,Abstract,510.0,6500,India,Modern,,67062ff9f386a3a7f262594a
Torino Natural Abstract Rug by Asiatic,309.0,187.68,Save 39,"Viscose , Wool",Easy to clean,Abstract,510.0,3200,India,Modern,,67062ff9f386a3a7f262594b
Apollo 2677 Grey Ivory Abstract Rug by Think Rugs,96.99,57.8,Save 40,Polypropylene,Easy to clean,Abstract,8.0,,Turkey,Modern,,67062ff9f386a3a7f262594c
Da Vinci 057-0397-6666 Cream Traditional Rug by Mastercraft,212.4,160.6,Save 24,"Polyester , Polypropylene",Easy to clean,"Bordered , Floral",11.0,2950,Belgium,Traditional,,67062ff9f386a3a7f262594d
Da Vinci 057-0397-9696 Cream Traditional Rug by Mastercraft,212.4,160.6,Save 24,"Polyester , Polypropylene",Easy to clean,"Abstract , Bordered , Floral",11.0,2950,Belgium,Traditional,,67062ff9f386a3a7f262594e
Da Vinci 057-0379-9295 Cream Traditional Rug by Mastercraft,212.4,160.6,Save 24,"Polyester , Polypropylene",Easy to clean,"Abstract , Bordered , Floral",11.0,2950,Belgium,Traditional,,67062ff9f386a3a7f262594f
Brighton 098-0051 4027-96 Modern Outdoor Rug by Mastercraft,92.4,70.18,Save 24,Polypropylene,Easy to clean,Striped,,1185,Belgium,"Modern , Outdoor",,67062ff9f386a3a7f2625950
Brighton 098-0051 9011-96 Modern Outdoor Rug by Mastercraft,92.4,70.18,Save 24,Polypropylene,Easy to clean,Striped,,1185,Belgium,"Modern , Outdoor",,67062ff9f386a3a7f2625951
Brighton 098-0051 9012-96 Modern Outdoor Rug by Mastercraft,92.4,70.18,Save 24,Polypropylene,Easy to clean,Striped,,1185,Belgium,"Modern , Outdoor",,67062ff9f386a3a7f2625952
My Washable Faux Fur Grey Rug by Origins,39.99,33.3,Save 17,Polyester,Easy to clean,Plain,22.0,11002,China,"Plain , Shaggy",,67062ff9f386a3a7f2625953
My Washable Windsor Traditional Rug by Origins,49.99,41.6,Save 17,Polyester,Easy to clean,"Bordered , Floral",2.0,11002,China,Traditional,,67062ff9f386a3a7f2625954
My Washable Soho Geometric Rug by Origins,49.99,41.6,Save 17,Polyester,Easy to clean,Geometric,2.0,11002,China,Modern,,67062ff9f386a3a7f2625955
My Washable Nomad Classic Aztec Rug by Origins,49.99,38.99,Save 22,Polyester,Easy to clean,Geometric,2.0,11002,China,"Traditional , Moroccan",,67062ff9f386a3a7f2625956
My Washable Marrakesh Medallion Rug by Origins,49.99,38.99,Save 22,Polyester,Easy to clean,"Bordered , Floral",2.0,11002,China,"Traditional , Persian",,67062ff9f386a3a7f2625957
My Washable Garda Persian Blue Rug by Origins,49.99,38.99,Save 22,Polyester,Easy to clean,"Floral , Geometric",2.0,11002,China,"Traditional , Persian",,67062ff9f386a3a7f2625958
My Washable Faux Fur Natural Plain Rug by Origins,39.99,33.3,Save 17,Polyester,Easy to clean,Plain,22.0,11002,China,"Plain , Shaggy",,67062ff9f386a3a7f2625959
My Washable Florence Traditional Distressed Rug by Origins,49.99,38.99,Save 22,Polyester,Easy to clean,Floral,2.0,11002,China,Traditional,,67062ffaf386a3a7f262595a
Rocks 070537 Moss Green Wool Shaggy by Brink & Campman,1229.0,1106.1,Save 10,Wool,Easy to clean,Plain,50.0,5500,Holland,"Luxurious , Modern , Plain , Shaggy , Wool",,67062ffaf386a3a7f262595b
Da Vinci 057-0397-6265 Cream Traditional Rug by Mastercraft,212.4,160.6,Save 24,"Polyester , Polypropylene",Easy to clean,"Bordered , Floral",11.0,2950,Belgium,Traditional,,67062ffaf386a3a7f262595c
Rocks 070523 Pumpkin Shaggy Rug by Brink & Campman,1229.0,1106.1,Save 10,Wool,Easy to clean,Plain,50.0,5500,Holland,"Luxurious , Modern , Plain , Shaggy , Wool",,67062ffaf386a3a7f262595d
Asiatic Mason Magnitude Sage Abstract Rug,189.0,118.32,Save 37,Polyester,Easy to clean,Abstract,13.0,,India,Modern,,67062ffaf386a3a7f262595e
Asiatic Mason Script Abstract Rug,189.0,118.32,Save 37,Polyester,Easy to clean,Abstract,13.0,,India,Modern,,67062ffaf386a3a7f262595f
Asiatic Mason Magnitude Black Abstract Rug,189.0,118.32,Save 37,Polyester,Easy to clean,Abstract,13.0,,India,Modern,,67062ffaf386a3a7f2625960
Rocks 070528 Beach Sand Shaggy Rug by Brink & Campman,1229.0,1106.1,Save 10,Wool,Easy to clean,Plain,50.0,5500,Holland,"Luxurious , Modern , Plain , Shaggy , Wool",,67062ffaf386a3a7f2625961
Asiatic Mason Yellow Scatter Abstract Rug,189.0,118.32,Save 37,Polyester,Easy to clean,Abstract,13.0,,India,Modern,,67062ffaf386a3a7f2625962
Asiatic Mason Magnitude Blue Abstract Rug,189.0,118.32,Save 37,Polyester,Easy to clean,Abstract,13.0,,India,Modern,,67062ffaf386a3a7f2625963
Asiatic Mason Blueprint Sage Abstract Rug,189.0,118.32,Save 37,Polyester,Easy to clean,Abstract,13.0,,India,Modern,,67062ffaf386a3a7f2625964
Asiatic Mason Draft Yellow Abstract Rug,189.0,118.32,Save 37,Polyester,Easy to clean,Abstract,13.0,,India,Modern,,67062ffaf386a3a7f2625965
Apollo 2677 Grey Navy Abstract Rug by Think Rugs,96.99,57.8,Save 40,Polypropylene,Easy to clean,Abstract,8.0,,Turkey,Modern,,67062ffaf386a3a7f2625966
Brink & Campman Lace 496903 Rust-Green Outdoor Rug,395.0,355.5,Save 10,"PET , Recycled Material",Easy to clean,Plain,15.0,3050,,"Modern , Outdoor , Plain",,67062ffaf386a3a7f2625967
Brink & Campman Lace 496901 Sand-mango Outdoor Rug,395.0,355.5,Save 10,"PET , Recycled Material",Easy to clean,Plain,15.0,3050,,"Modern , Outdoor , Plain",,67062ffaf386a3a7f2625968
Glitz GLZ08 Ivory  Ceam Bordered Rug by Nourison,70.0,55.88,Save 20,Polyester,Easy to clean,"Bordered , Plain",10.0,1720,,Modern,,67062ffaf386a3a7f2625969
Glitz GLZ06 Taupe Multi Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,Abstract,10.0,1720,,Modern,,67062ffaf386a3a7f262596a
Glitz GLZ03 Ivory Taupe Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,"Abstract , Bordered",10.0,1720,,Modern,,67062ffaf386a3a7f262596b
Brink & Campman Lace 496904 Grey-Pink Outdoor Rug,395.0,355.5,Save 10,"PET , Recycled Material",Easy to clean,Plain,15.0,3050,,"Modern , Outdoor , Plain",,67062ffaf386a3a7f262596c
Pop Koi Japanese Pond 9390 Graphics Rug by Louis De Poortere,205.0,184.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Graphics , Pictorial",3.0,1500,Belgium,"Kids , Luxurious , Modern",,67062ffaf386a3a7f262596d
Pop Lobster Steam Red 9389 Graphics Rug by Louis De Poortere,205.0,184.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Graphics , Pictorial",3.0,1500,Belgium,"Kids , Luxurious , Modern",,67062ffaf386a3a7f262596e
Glitz GLZ05 Multi  Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,Abstract,10.0,1720,,Modern,,67062ffaf386a3a7f262596f
Pop Banana Miami Red 9392 Graphics Rug by Louis De Poortere,205.0,184.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Graphics , Pictorial",3.0,1500,Belgium,"Kids , Luxurious , Modern",,67062ffaf386a3a7f2625970
Pop Banana California Blue 9394 Graphics Rug by Louis De Poortere,205.0,184.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Graphics , Pictorial",3.0,1500,Belgium,"Kids , Luxurious , Modern",,67062ffbf386a3a7f2625971
Glitz GLZ02 Ivory Grey Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,"Abstract , Geometric",10.0,1720,,Modern,,67062ffbf386a3a7f2625972
Craft Chess Honey 9338 Chequered Flatweave Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Bordered , Chequered",3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625973
Craft Chess Nude 9341 Chequered Flatweave Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Bordered , Chequered",3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625974
Craft Cobblestone Amparo Blues 9348 Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625975
Craft Lucia Ice Blue 9355 Geometric Rug by Louis De Poortere,188.0,169.2,Save 10,"Polyester , Recycled Material",Professional Cleaning,Geometric,5.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625976
Craft Lucia Sycamore  9356 Green Geometric Rug by Louis De Poortere,188.0,169.2,Save 10,"Polyester , Recycled Material",Professional Cleaning,Geometric,5.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625977
Craft Chess Deep Green 9339 Chequered Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Bordered , Chequered",3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625978
Craft Cobblestone Peach Party 9346 Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625979
Craft Kuba Bison 9335 Brown Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f262597a
Craft Kuba Ultramarine  9336 Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f262597b
Craft Papercut Campanula 9358 Blue Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f262597c
Craft Papercut Sea Spray 9361 Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Abstract , Plain",3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f262597d
Craft Papercut Rust  9364 Abstract Luxurious Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f262597e
Craft Lucia Nuggets 9357 Brown Geometric Rug by Louis De Poortere,188.0,169.2,Save 10,"Polyester , Recycled Material",Professional Cleaning,Geometric,5.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f262597f
Gallery Fresque Indian Rice 9393 Green Abstract Rug by Louis De Poortere,205.0,184.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625980
Gallery Fresque Middle Of 9344 Beige Abstract Rug by Louis De Poortere,205.0,184.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625981
Gallery Fresque Purple Game 9342 Abstract Rug by Louis De Poortere,205.0,184.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffbf386a3a7f2625982
Meditation Swim 9353 Grit Abstract Handmade Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,15002,Belgium,"Handmade , Modern",,67062ffbf386a3a7f2625983
Craft Papercut Curry 9367 Yellow Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,Abstract,3.0,1500,Belgium,"Luxurious , Modern",,67062ffcf386a3a7f2625984
Craft Papercut String 9366 Grey Abstract Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Professional Cleaning,"Abstract , Plain",3.0,1500,Belgium,"Luxurious , Modern",,67062ffcf386a3a7f2625985
Vista 2236 Pink Solid Plain Shaggy Rug By Think Rugs,286.99,200.89,,Polypropylene,Easy to clean,Plain,,,,"Plain , Shaggy",,67062ffcf386a3a7f2625986
Twilight 039 0001 6611 Linen Shaggy Rug by Mastercraft,76.8,58.19,Save 24,Polypropylene,Easy to clean,Plain,50.0,3956,Belgium,"Plain , Shaggy"," Really soft underfoot and high-quality! Both the delivery and customer service were satisfactory!  |  Great-quality, plush and affordable! Got an amazing offer on it as well! A must have!  |  Looks perfect in my bedroom! Delivery was a bit delayed. Customer service was great!  |  Sumptuous look, modern tone and high-quality! Whole ordering process was amazing! – One Happy Customer!  |  Shaggy look! From order to delivery, The Rug Shop UK handled everything well! ",67062ffcf386a3a7f2625987
Valentine VL-10 Red Wool Rug By Think Rugs,251.9,151.14,Save 40,Wool,Easy to clean,"Floral , Optical/ (3D)",,,,"Handmade , Modern , Wool"," Beautiful rug and great price, delivered within 48 hrs of my order, non slip underlay was free and arrived slightly later but this was no problem. Highly Recommended and would definitely use them again.
 ",67062ffcf386a3a7f2625988
Afghan 7901 Beige Traditional Rug by Mastercraft,330.0,158.8,Save 52,Wool,,"Bordered , Geometric",,,,"Traditional , Wool",,67062ffcf386a3a7f2625989
Vista 2236 Red Solid Plain Shaggy Rug By Think Rugs,58.99,35.39,Save 40,Polypropylene,Easy to clean,Plain,,,,"Plain , Shaggy",,67062ffcf386a3a7f262598a
Stella 47223 JC900 Abstract Contemporary Rug by Mastercraft,435.6,330.22,Save 24,"Wool , PET",Easy to clean,Abstract,9.0,2650,,Modern,,67062ffcf386a3a7f262598b
Glitz GLZ23 Grey Multi Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,Abstract,10.0,1735,Turkey,Modern,,67062ffcf386a3a7f262598c
Moda 47128 GC990 Abstract Modern Rug by Mastercraft,105.6,80.2,Save 24,"Polyester , Polypropylene",Easy to clean,Abstract,9.5,3200,,Modern,,67062ffcf386a3a7f262598d
Rug Guru Imperial Chocolate Shaggy Rug,170.0,139.0,Save 18,Wool,Easy to clean,Plain,,,,"Luxurious , Plain , Shaggy , Wool",,67062ffcf386a3a7f262598e
Stella 47230 JC900 Abstract Contemporary Rug by Mastercraft,435.6,330.22,Save 24,"Wool , PET",Easy to clean,Abstract,9.0,2650,,Modern,,67062ffcf386a3a7f262598f
Glitz GLZ22 Grey Gold Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,Abstract,10.0,1735,Turkey,Modern,,67062ffcf386a3a7f2625990
Rug Guru Imperial Latte Shaggy Rug,170.0,139.0,Save 18,Wool,Easy to clean,Plain,,,,"Luxurious , Plain , Shaggy , Wool",,67062ffcf386a3a7f2625991
Glitz GLZ20 Grey Multi Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,Abstract,10.0,1735,Turkey,Modern,,67062ffcf386a3a7f2625992
Meditation Swim 9351 Surf Abstract Handmade Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,15002,Belgium,"Handmade , Modern",,67062ffcf386a3a7f2625993
Kashqai 4377 400 Green Traditional Kazak Wool Rug by Mastercraft,435.6,330.22,Save 24,Wool,Easy to clean,"Bordered , Floral",8.5,27002,Belgium,"Traditional , Persian , Wool",,67062ffcf386a3a7f2625994
Kashqai 4377 300 Red Traditional Kazak Wool Rug by Mastercraft,435.6,330.22,Save 24,Wool,Easy to clean,"Bordered , Floral",8.5,27002,Belgium,"Traditional , Persian , Wool",,67062ffcf386a3a7f2625995
Glitz GLZ21 Grey Gold Abstract Rug by Nourison,70.0,56.88,Save 19,Polyester,Easy to clean,Abstract,10.0,1735,Turkey,Modern,,67062ffcf386a3a7f2625996
Meditation Swim 9349 Saffron Abstract Handmade Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,15002,Belgium,"Handmade , Modern",,67062ffcf386a3a7f2625997
Meditation Swim 9354 River Abstract Handmade Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,15002,Belgium,"Handmade , Modern",,67062ffcf386a3a7f2625998
Meditation Lagoon 9332 Inkjet Abstract Handmade Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,15002,Belgium,"Handmade , Modern",,67062ffcf386a3a7f2625999
Brown 0901 Glasgow OPUS Luxury Shaggy Rug 1,28.0,25.2,,Polypropylene,Easy to clean,Plain,,,,"Plain , Shaggy", Was pleasantly surprised at how good the quality was of the rug I ordered at such a fantastic low price. Similar rugs I'd seen priced were at least double the price in local stores. Arrived well packaged within the expected delivery dates given. Would have no hesitation in reordering and recommending. ,67062ffcf386a3a7f262599a
Beige 0923 Glasgow OPUS Luxury Shaggy Rug,28.0,25.2,,Polypropylene,Easy to clean,Plain,,,,"Plain , Shaggy"," Very nice little rug very pleased. Quick delivery
  |  Excellent service very quick delivery and I'm very pleased with my rugs  ",67062ffdf386a3a7f262599b
Kelim KE06 Traditional Rug By Asitatic,,,,"Wool , Others",Easy to clean,Abstract,4.0,1200,,"Kilim , Traditional , Wool",,67062ffdf386a3a7f262599c
Meditation Lagoon 9333 Sunset Abstract Handmade Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,15002,Belgium,"Handmade , Modern",,67062ffdf386a3a7f262599d
Fields Sky Striped Rug By Asiatic,429.0,259.44,Save 40,"Viscose , Cotton , Wool",Easy to clean,Striped,3.0,1800,India,"Handmade , Luxurious , Modern , Striped , Wool",,67062ffdf386a3a7f262599e
Deco Pastel Rug By Asiatic,879.0,522.0,Save 41,Viscose,Easy to clean,"Abstract , Striped",10.0,4000,India,"Handmade , Luxurious , Modern , Striped"," Liked the rug very much

 ",67062ffdf386a3a7f262599f
Deco Graphite Striped Rug By Asiatic,,,,Viscose,Easy to clean,"Abstract , Striped",10.0,4000,India,"Handmade , Luxurious , Modern , Striped",,67062ffdf386a3a7f26259a0
Funk Honeycomb Pastel Geometric Rug By Asiatic,,,,Wool,Easy to clean,Geometric,11.0,4500,India,"Funky , Handmade , Luxurious , Modern , Wool",,67062ffdf386a3a7f26259a1
Verve VE11 Red Floral Rug By Asiatic,799.0,483.12,Save 40,Polyester,,"Bordered , Floral",5.0,1700,Turkey,"Luxurious , Modern",,67062ffdf386a3a7f26259a2
Revive RE07 Rug By Asiatic,89.0,54.06,Save 39,Polypropylene,Easy to clean,"Abstract , Floral",3.0,,Belgium,Traditional,,67062ffdf386a3a7f26259a3
Revive RE03 Rug By Asiatic,89.0,54.06,Save 39,Polypropylene,Easy to clean,Floral,3.0,1400,Belgium,Traditional," Delivery was quick especially as it was ordered over a bank holiday. Rug is exactly as shown, really pleased.
 ",67062ffdf386a3a7f26259a4
Blade Border Putty Smoke Rug By Asiatic,329.0,194.82,Save 41,Viscose,Easy to clean,Bordered,7.0,3300,,"Luxurious , Modern",,67062ffdf386a3a7f26259a5
Blade Border Mocha Chocolate Rug By Asiatic,329.0,194.82,Save 41,Viscose,Easy to clean,Bordered,7.0,3300,,"Luxurious , Modern",,67062ffdf386a3a7f26259a6
Blade Border Champagne Putty Rug By Asiatic,329.0,194.82,Save 41,Viscose,Easy to clean,Bordered,7.0,3300,,"Luxurious , Modern",,67062ffdf386a3a7f26259a7
Woodstock 032 0529 2298 Rug By Mastercraft,142.8,108.57,Save 24,Polypropylene,,"Chequered , Geometric",9.0,,,Modern,,67062ffdf386a3a7f26259a8
Mad Men Griff 8421 Bronx Azurite Designer Luxury Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,1500,Belgium,Modern, I orered a rug (Order #1000031578) which arrived quickly and which was exactly as described.  It looks just as I'd imagined it would in the sitting room. ,67062ffdf386a3a7f26259a9
Juliana Taupe Polypropylene Rug by Origins,65.99,25.15,Save 62,Polypropylene,,Floral,,,,Modern,,67062ffdf386a3a7f26259aa
Mad Men Griff 8420 Jersey Stone Designer Luxury Rug by Louis De Poortere,175.0,139.0,Save 21,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,1500,Belgium,"Luxurious , Modern"," Great Service
  |  I have been looking for a circular rug suitable for a bathroom area, and this suited the bill perfectly. The color is striking, it is soft underfoot but does not flatten, and it is easily cared for. I received delivery within 48 hours of order placement. What more can I say. Shall certainly be using again. ",67062ffdf386a3a7f26259ab
Aura Berry Polypropylene Shaggy Rug by Origins,453.99,165.0,Save 64,Polypropylene,,Plain,,,,"Plain , Shaggy",,67062ffdf386a3a7f26259ac
Think Rugs Hong Kong HK-7526 Grey Rug,199.0,119.4,Save 40,Acrylic,Easy to clean,Geometric,,,,"Handmade , Modern",,67062ffdf386a3a7f26259ad
Shimmer Charcoal Polyester Shaggy Rug by Origins,105.0,83.5,Save 20,Polyester,Easy to clean,Plain,30.0,,,"Handmade , Modern , Plain , Shaggy", Rug is so lovely and very comfortable. Fabulous rug. ,67062ffdf386a3a7f26259ae
Hong Kong HK6083 Kids Rainbow Multicoloured Children Rug By Think Rugs,108.99,65.39,Save 40,Acrylic,Easy to clean,"Geometric , Striped",15.0,2200,,"Handmade , Kids , Modern , Shaggy"," It’s perfect seven color combinations go so well with my kid’s room. Really loved its shape and size will suggest it to everyone.  |  Its geometric patterns are very beautiful. I liked its shaggy appearance and color combination. Got it delivered the very next weekend I placed order on.  |  Beautiful color, smooth texture and its semi- circle shape really makes it easier to place it anywhere. Occupies less of my area. From order to delivery everything was managed by the bedding mill UK quite well. Happily satisfied.  |  Quite affordable and vibrant colored rug. Ordered for my kids room and they love playing around it. Delivery was quick and the package arrived in proper condition.  |  With so many options to choose to from it was quite difficult to final this semi circle shaped rug. My kids love it rainbow color combination. Fur quality is perfect and up to the mark. Extremely satisfied with the purchase.  |  I searched kids rug on many websites but they were not so good then finally I found this site to have the rug as per my requirement?good quality and nice design..rug arrived within 2-4 working days?so pleased with the rug ",67062ffdf386a3a7f26259af
